from/to;MON;APT;ASL;KVB;MID;NLNVAL;OSC;OSE;OSS;TEQTRC;TRO;VFB;OSO;TEN;TRB
MON;0;63.84;76.23;62.02;78.3;66.75999999999999;54.92;56.05;60.09;30.57;28.48;49.41;49.3;32.18;32.08
APT;63.84;0;53.23;49.32;26.44;48.65;20.41;13.29;6.61;44.42;35.61;30.83;26.2;34.77;36.79
ASL;76.23;53.23;0;14.53;34.23;11.58;35.83;42.48;47.48;48.53;56.53;31.51;35.09;49.11;47.33
KVB;62.02;49.32;14.53;0;37.56;6.05;29.38;36.72;42.88;34.83;44.39;21.46;26.04;36.8;34.61
MID;78.3;26.44;34.23;37.56;0;34.64;23.38;23.96;23.92;52.13;50.85;30.88;29.39;46.13;46.49
NLNVAL;66.75999999999999;48.65;11.58;6.05;34.64;0;29.44;36.61;42.4;39.07;47.5;23.13;27.26;39.989999999999995;38.07
OSC;54.92;20.41;35.83;29.38;23.38;29.44;0;7.35;13.81;29.419999999999998;27.74;10.8;6.98;22.75;23.24
OSE;56.05;13.29;42.48;36.72;23.96;36.61;7.35;0;6.71;33.02;27.76;17.53;12.95;24.58;25.92
OSS;60.09;6.61;47.48;42.88;23.92;42.4;13.81;6.71;0;38.83;31.61;24.23;19.65;17.37;17.25
TEQTRC;30.57;44.42;48.53;34.83;52.13;39.07;29.419999999999998;33.02;38.83;0;15.92;21.74;22.8;29.68;31.41
TRO;28.48;35.61;56.53;44.39;50.85;47.5;27.74;27.76;31.61;15.92;0;25.51;23.51;10.62;7.859999999999999
VFB;49.41;30.83;31.51;21.46;30.88;23.13;10.8;17.53;24.23;21.74;25.51;0;4.88;7.59;10.13
OSO;49.3;26.2;35.09;26.04;29.39;27.26;6.98;12.95;19.65;22.8;23.51;4.88;0;18.54;17.6
TEN;32.18;34.77;49.11;36.8;46.13;39.989999999999995;22.75;24.58;17.37;29.68;10.62;7.59;18.54;0;3.06
TRB;32.08;36.79;47.33;34.61;46.49;38.07;23.24;25.92;17.25;31.41;7.859999999999999;10.13;17.6;3.06;0
