MON,APT,MON
MON,ASL,MON
MON,DAB,MON
MON,DSA,MON
MON,DSS,MON
MON,GFAGFB,MON
MON,GFC,MON
MON,KVB,MON
MON,MID,MON
MON,NLNVAL,MON
MON,OSC,MON
MON,OSE,MON
MON,OSO,MON
MON,OSS,MON
MON,STA,MON
MON,STB,MON
MON,STC,MON
MON,TENTRB,MON
MON,TEQTRC,MON
MON,TRO,MON
MON,VFB,MON
MON,APT,ASL,MON
MON,APT,DAB,MON
MON,APT,DSA,MON
MON,APT,DSS,MON
MON,APT,GFAGFB,MON
MON,APT,GFC,MON
MON,APT,KVB,MON
MON,APT,MID,MON
MON,APT,NLNVAL,MON
MON,APT,OSC,MON
MON,APT,OSE,MON
MON,APT,OSO,MON
MON,APT,OSS,MON
MON,APT,STA,MON
MON,APT,STB,MON
MON,APT,STC,MON
MON,APT,TENTRB,MON
MON,APT,TEQTRC,MON
MON,APT,TRO,MON
MON,APT,VFB,MON
MON,ASL,DAB,MON
MON,ASL,DSA,MON
MON,ASL,DSS,MON
MON,ASL,GFAGFB,MON
MON,ASL,GFC,MON
MON,ASL,KVB,MON
MON,ASL,MID,MON
MON,ASL,NLNVAL,MON
MON,ASL,OSC,MON
MON,ASL,OSE,MON
MON,ASL,OSO,MON
MON,ASL,OSS,MON
MON,ASL,STA,MON
MON,ASL,STB,MON
MON,ASL,STC,MON
MON,ASL,TENTRB,MON
MON,ASL,TEQTRC,MON
MON,ASL,TRO,MON
MON,ASL,VFB,MON
MON,DAB,DSA,MON
MON,DAB,DSS,MON
MON,DAB,GFAGFB,MON
MON,DAB,GFC,MON
MON,DAB,KVB,MON
MON,DAB,MID,MON
MON,DAB,NLNVAL,MON
MON,DAB,OSC,MON
MON,DAB,OSE,MON
MON,DAB,OSO,MON
MON,DAB,OSS,MON
MON,DAB,STA,MON
MON,DAB,STB,MON
MON,DAB,STC,MON
MON,DAB,TENTRB,MON
MON,DAB,TEQTRC,MON
MON,DAB,TRO,MON
MON,DAB,VFB,MON
MON,DSA,DSS,MON
MON,DSA,GFAGFB,MON
MON,DSA,GFC,MON
MON,DSA,KVB,MON
