from/to;MON;APT;ASL;DAB;DSA;DSS;GFAGFB;GFC;KVB;MID;NLNVAL;OSC;OSE;OSO;OSS;STASTB;STC;TENTRB;TEQTRC;TRO;VFB
MON;0;63.84;76.23;42.91;84.06;82.17;73.86;70.21;62.02;78.3;66.75999999999999;54.92;56.05;49.3;60.09;85.47;81.99;34.0;30.57;28.48;49.41
APT;63.84;0;53.23;62.48;73.95;80.19;59.26;57.81;49.32;26.44;48.65;20.41;13.29;26.2;6.61;66.42;66.45;37.669999999999995;44.42;35.61;30.83
ASL;76.23;53.23;0;41.44;21.71;30.33;10.49;11.05;14.53;34.23;11.58;35.83;42.48;35.09;47.48;13.190000000000001;13.52;50.12;48.53;56.53;31.51
DAB;42.91;62.48;41.44;0;42.55;39.4;36.13999999999999;32.06;27.65;60.77;33.66;43.2;49.42;36.54;56.07;47.13999999999999;42.43;33.69;25.63;39.18;32.44
DSA;84.06;73.95;21.71;42.55;0;10.51;18.17;16.93;26.69;55.9;27.76;55.09;62.23;52.58;67.86;15.34;8.45;63.51;59.33;70.41;48.11
DSS;82.17;80.19;30.33;39.4;10.51;0;24.8;22.48;31.1;64.35;33.709999999999994;60.47;67.79;56.92;73.84;25.34;18.28;65.19;59.81;72.06;52.16
GFAGFB;73.86;59.26;10.49;36.13999999999999;18.17;24.8;0;4.14;12.64;43.089999999999996;12.91;40.239999999999995;47.4;37.9;53.089999999999996;14.93;12.15;50.22999999999999;47.209999999999994;57.019999999999996;33.58
GFC;70.21;57.81;11.05;32.06;16.93;22.48;4.14;0;9.82;42.66;11.260000000000002;38.43;45.67;35.66;51.54;15.4;11.98;47.199999999999996;43.839999999999996;54.04;31.18
KVB;62.02;49.32;14.53;27.65;26.69;31.1;12.64;9.82;0;37.56;6.05;29.38;36.72;26.04;42.88;23.87;21.46;37.599999999999994;34.83;44.39;21.46
MID;78.3;26.44;34.23;60.77;55.9;64.35;43.089999999999996;42.66;37.56;0;34.64;23.38;23.96;29.39;23.92;46.589999999999996;47.56;48.19;52.13;50.85;30.88
NLNVAL;66.75999999999999;48.65;11.58;33.66;27.76;33.709999999999994;12.91;11.260000000000002;6.05;34.64;0;29.44;36.61;27.26;42.4;22.68;21.25;40.919999999999995;39.07;47.5;23.13
OSC;54.92;20.41;35.83;43.2;55.09;60.47;40.239999999999995;38.43;29.38;23.38;29.44;0;7.35;6.98;13.81;48.82;48.22;24.85;29.419999999999998;27.74;10.8
OSE;56.05;13.29;42.48;49.42;62.23;67.79;47.4;45.67;36.72;23.96;36.61;7.35;0;12.95;6.71;55.589999999999996;55.18;27.12;33.02;27.76;17.53
OSO;49.3;26.2;35.09;36.54;52.58;56.92;37.9;35.66;26.04;29.39;27.26;6.98;12.95;0;19.65;47.58;46.41;19.15;22.8;23.51;4.88
OSS;60.09;6.61;47.48;56.07;67.86;73.84;53.089999999999996;51.54;42.88;23.92;42.4;13.81;6.71;19.65;0;60.66;60.52;32.43;38.83;31.61;24.23
STASTB;85.47;66.42;13.190000000000001;47.13999999999999;15.34;25.34;14.93;15.4;23.87;46.589999999999996;22.68;48.82;55.589999999999996;47.58;60.66;0;7.0600000000000005;61.28999999999999;58.669999999999995;67.97;43.65
STC;81.99;66.45;13.52;42.43;8.45;18.28;12.15;11.98;21.46;47.56;21.25;48.22;55.18;46.41;60.52;7.0600000000000005;0;59.04;55.82;65.84;42.23
TENTRB;34.0;37.669999999999995;50.12;33.69;63.51;65.19;50.22999999999999;47.199999999999996;37.599999999999994;48.19;40.919999999999995;24.85;27.12;19.15;32.43;61.28999999999999;59.04;0;11.12;10.73;19.92
TEQTRC;30.57;44.42;48.53;25.63;59.33;59.81;47.209999999999994;43.839999999999996;34.83;52.13;39.07;29.419999999999998;33.02;22.8;38.83;58.669999999999995;55.82;11.12;0;15.92;21.74
TRO;28.48;35.61;56.53;39.18;70.41;72.06;57.019999999999996;54.04;44.39;50.85;47.5;27.74;27.76;23.51;31.61;67.97;65.84;10.73;15.92;0;25.51
VFB;49.41;30.83;31.51;32.44;48.11;52.16;33.58;31.18;21.46;30.88;23.13;10.8;17.53;4.88;24.23;43.65;42.23;19.92;21.74;25.51;0
